PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;59412;1388738;57637;1388739-1388738;461996;1388741-1388739;50175119;1396042-1388741
;;462001;973226;462000;973224-973226;462249;1388728-973224;50120240;996266-1388728
;;462001;973226;462000;973224-973226;461999;1388724-973224;50175034;1396054-1388724
;;59767;1011340;45068;1011341-1011340;9404;1388679-1011341;50158375;1329073-1388679
;;59767;1011340;45068;1011341-1011340;9404;1388679-1011341;50174662;1396184-1388679
;;59774;1326391;47087;1326390-1326391;478594;1346855-1326390;50158371;1329076-1346855
;;59774;1326391;47087;1326390-1326391;478593;1388645-1326390;50158370;1329077-1388645
;;59522;59522;48159;48159-59522;2990;1388641-48159;50174749;1387734-1388641
;;461843;968438;461842;968436-968438;461844;968442-968436;50175048;1387136-968442
;;461843;968438;461842;968436-968438;461844;968442-968436;50151621;1169305-968442
;;60235;60235;42275;42275-60235;9170;1388615-42275;50076841;1201622-1388615
;;59609;1194280;48195;1194281-1194280;3083;1388609-1194281;50093483;1194154-1388609
;;59664;59664;48463;48463-59664;3665;1388593-48463;50174966;1396080-1388593
;;59744;1388581;52923;1316224-1388581;11630;1037962-1316224;50174468;1388290-1037962
;;59744;1388581;52924;1316225-1388581;11633;1037931-1316225;50174469;1388288-1037931
;;60089;60089;42319;42319-60089;4850;833597-42319;50016403;1112370-833597
;;60049;1113572;48333;1113571-1113572;31722;1113569-1113571;50093825;1199781-1113569
;;60053;1307225;53315;1307224-1307225;415441;1307226-1307224;50094271;1169344-1307226
;;60053;1307225;53315;1307224-1307225;415441;1307226-1307224;50020243;996397-1307226
;;60173;60173;54915;1306118-60173;31381;1306119-1306118;50076976;1201780-1306119
;;60173;60173;54915;1306118-60173;31380;1306120-1306118;50110412;1201566-1306120
;;60189;60189;55077;55077-60189;31782;1271314-55077;50174444;1396233-1271314
;;427072;1232774;427025;892291-1232774;478571;1249581-892291;50152091;1329100-1249581
;;427073;893489;462199;1307653-893489;478591;1346864-1307653;50158373;1329075-1346864
;;60239;60239;43632;43632-60239;31942;1381709-43632;50174352;1388522-1381709
;;60319;796955;54887;796954-796955;424191;1350723-796954;50174353;1388520-1350723
;;60346;60346;43064;43064-60346;420116;1396263-43064;50110413;1163005-1396263
;;60346;60346;43064;43064-60346;420116;1396263-43064;50109541;1162989-1396263
;;60346;60346;43064;43064-60346;9865;1396259-43064;50174692;1396181-1396259
;;59503;59503;48148;48148-59503;2961;1351345-48148;50174734;1387764-1351345
;;59506;1351340;48144;1351341-1351340;2956;1351342-1351341;50093349;1169596-1351342
;;59488;59488;53221;53221-59488;12413;1156054-53221;50174650;1387926-1156054
;;59488;59488;53221;53221-59488;12413;1156054-53221;50074702;1164462-1156054
;;59495;59495;48139;48139-59495;2949;1351348-48139;50174722;1387788-1351348
;;59495;59495;48139;48139-59495;2949;1351348-48139;50093342;1169647-1351348
;;59406;1300877;52968;1239888-1300877;11764;1300873-1239888;50164569;1239204-1300873
;;59409;1239887;52981;1250521-1239887;462248;996245-1250521;50175037;1387158-996245
;;59409;1239887;52981;1250521-1239887;462248;996245-1250521;50120252;996244-996245
;;59410;59410;43918;43918-59410;480921;1256674-43918;50166761;1256076-1256674
;;59410;59410;43918;43918-59410;480921;1256674-43918;50020842;1134536-1256674
;;59410;59410;43918;43918-59410;480919;1256071-43918;50166762;1256070-1256071
;;59411;1272061;57638;1272059-1272061;20178;1272054-1272059;50175028;1387176-1272054
;;59411;1272061;57638;1272059-1272061;20176;1272051-1272059;50074706;1239215-1272051
